"name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","languagedependence","average","numwanting","numcomments","numplays","numplays_month","news","blogs","podcast","boardgamedesigner_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","desc_word_count","dif_players","main_category","difficulty"
"Eggs of Ostrich",2012,3,3,10,10,12,1,6.72545,39,87,1615,9,2,19,1,1,2,0,291,0,"Card Game","Simple"
"Lightning  Midway \u2013 June 4th to June 6th",2004,2,2,30,30,9,0,6.4674,21,174,516,0,0,0,0,1,2,0,130,0,"Card Game","Simple"
"Stonewall's Sword  The Battle of Cedar Mountain",2015,2,2,180,180,12,3,7.97295,36,59,175,0,0,8,2,1,1,0,177,0,"Wargame","Complex"
"Spank the Monkey",2003,2,6,30,30,12,4,5.92714,23,342,2817,6,1,1,0,1,4,0,402,4,"Card Game","Simple"
"Urbanization",2012,2,4,75,75,12,2,6.23516,34,173,668,1,2,5,2,1,1,0,84,2,"Other","Complex"
"Warmachine  High Command",2013,2,4,60,60,0,3,6.17225,14,160,943,1,1,14,2,1,1,0,131,2,"Card Game","Simple"
"Ca$h 'n Gun$  Live",2007,8,20,30,30,10,1,6.38138,35,116,443,0,0,1,4,1,2,1,110,12,"Bluffing","Simple"
"Magestorm  Mighty Battles in the Age of Magic",2010,2,2,60,60,12,3,6.34894,16,150,318,0,4,2,1,1,4,0,122,0,"Fantasy","Complex"
"Give Me the Brain  Superdeluxe Edition",1996,3,8,15,15,10,3,5.85211,30,699,6136,5,2,4,1,1,4,1,93,5,"Card Game","Simple"
"In Front of the Elevators",2019,2,4,20,40,8,0,7.15018,30,35,520,21,2,2,0,1,1,0,219,2,"Card Game","Simple"
"Camden",2002,2,4,20,20,10,1,6.25917,18,278,612,0,1,2,0,1,3,0,175,2,"Abstract Strategy","Simple"
"Belle of the Ball",2014,2,5,30,45,13,2,6.08361,20,188,1057,1,2,4,6,1,1,0,166,3,"Card Game","Simple"
"Penny Papers Adventures  The Temple of Apikhabou",2018,1,99,20,20,7,1,6.43633,21,68,1537,17,2,27,0,1,3,0,117,98,"Dice","Simple"
"The Sorcerer's Cave",1978,1,4,60,60,10,3,6.46501,75,175,279,0,0,1,1,1,3,0,74,3,"Card Game","Simple"
"Swish",2011,2,6,10,10,8,1,6.15188,9,124,1177,4,0,4,0,2,2,0,134,4,"Abstract Strategy","Simple"
"Super Munchkin  Guest Artist Edition",2005,3,6,90,90,10,4,5.87374,27,499,1655,1,0,2,0,1,9,0,316,3,"Card Game","Simple"
"Kansas Pacific",2009,3,6,100,100,14,1,6.60156,24,117,413,0,1,6,0,1,2,0,140,3,"Economic","Complex"
"Napol\u00e9on 1806",2017,2,2,60,120,10,3,7.85484,57,63,266,1,0,3,0,1,2,0,486,0,"Wargame","Complex"
"Panzer Command",1984,2,2,180,180,12,0,7.22429,29,100,65,0,0,2,1,1,1,0,81,0,"Wargame","Complex"
"Joan of Arc",1998,3,6,180,180,12,2,6.27637,23,154,340,0,0,1,0,1,3,0,336,3,"Card Game","Complex"
"Octiles",1984,2,4,60,60,8,1,6.44281,17,131,506,1,0,0,0,1,3,1,118,2,"Abstract Strategy","Simple"
"Completto",2015,2,4,30,30,8,1,6.69386,8,47,1264,2,1,4,0,1,1,0,72,2,"Other","Simple"
"Sherman Leader",2017,1,1,45,60,12,0,7.71248,39,67,275,2,0,4,0,2,1,0,157,0,"Wargame","Complex"
"3 sind eine zu viel!",2015,2,4,25,25,10,1,6.61049,6,69,876,9,0,15,2,2,4,0,207,2,"Card Game","Simple"
"The Brigade",2018,2,4,20,40,8,0,6.90674,17,118,447,2,0,8,2,2,1,0,225,2,"Adventure","Simple"
"Plan Orange  Pacific War 1930 \u2013 1935",2016,2,2,120,480,12,4,7.5917,13,82,132,0,0,1,0,1,1,1,123,0,"Wargame","Complex"
"Wheedle",2002,4,6,30,30,9,1,6.15903,9,235,1295,2,0,1,0,1,3,0,297,2,"Animals","Simple"
"Billionaire Banshee",2014,2,15,60,60,13,4,6.33829,17,104,701,1,1,15,5,1,1,0,108,13,"Card Game","Simple"
"Ur  1830 BC",2001,3,6,180,180,14,3,6.66477,103,97,195,1,0,3,0,2,1,0,243,3,"Other","Complex"
"Battle for Stalingrad",1980,2,2,180,720,12,0,7.30938,35,105,65,0,0,0,0,1,4,0,208,0,"Wargame","Complex"
"Incorporated",2016,2,4,80,180,16,2,7.43493,50,49,188,0,0,4,0,1,2,0,170,2,"Economic","Complex"
"Hobbit Tales from the Green Dragon Inn",2013,2,5,20,60,13,1,6.78231,23,71,415,0,0,5,0,2,5,3,230,3,"Card Game","Simple"
"Rival Restaurants",2019,2,6,45,60,10,2,8.12926,15,80,296,53,0,4,2,3,1,0,397,4,"Other","Simple"
"Final Fantasy Trading Card Game",2011,2,2,15,30,12,3,7.15,12,45,989,2,1,8,1,1,3,1,153,0,"Card Game","Simple"
"Trickster  Champions of Time",2017,2,7,25,30,14,0,6.49319,9,100,829,1,0,13,8,1,2,0,87,5,"Card Game","Simple"
"Winter War",1972,2,2,90,90,12,2,7.01757,28,120,129,0,0,1,0,1,1,0,191,0,"Wargame","Simple"
"Oilfield",2016,2,5,60,60,12,1,6.86236,14,53,301,0,1,6,0,1,1,0,442,3,"Economic","Complex"
"Power & Weakness",2007,2,2,45,45,12,1,6.64733,33,118,304,0,0,1,0,1,2,1,241,0,"Fantasy","Complex"
"1987 Channel Tunnel",2019,2,2,45,45,12,1,7.68304,33,34,356,36,1,10,0,2,1,0,218,0,"Other","Complex"
"Aztl\u00e1n",2012,2,4,60,60,13,3,6.35226,20,160,470,0,2,9,1,1,3,0,324,2,"Other","Simple"
"Nightfighter Ace  Air Defense Over Germany",2018,1,2,120,180,0,4,8.18864,41,56,1125,0,0,0,0,2,1,0,184,1,"Wargame","Simple"
"Catan  Family Edition",2012,3,4,60,90,10,0,6.6539,2,87,477,2,0,1,2,1,2,0,134,1,"Other","Simple"
"Swords & Sorcery",1978,2,7,180,180,12,4,6.87904,80,132,77,0,0,0,1,1,1,1,156,5,"Adventure","Complex"
"Munchkin Conan",2012,3,6,90,90,10,0,6.46099,8,66,236,0,2,0,0,1,5,0,359,3,"Card Game","Simple"
"Heart of Crown  Fairy Garden",2013,2,4,45,45,12,3,8.36229,13,22,166,15,1,5,0,1,2,0,151,2,"Card Game","Complex"
"Afrika  The Northern African Campaign",1993,2,2,180,720,12,1,6.83597,3,100,108,0,0,0,0,1,2,3,346,0,"Wargame","Complex"
